country,total_content,movie_count,tv_show_count,percentage_of_total,avg_quality_score,earliest_release_year,latest_release_year,avg_release_year,years_of_production,created_at
Portugal,6,6,0,0.06,100.0,2014,2020,2017.0,4,2026-08-31T13:16:18.024Z
Ghana,5,5,0,0.05,100.0,1993,2019,2013.0,4,2026-08-31T13:16:18.024Z
West Germany,5,3,2,0.05,94.0,1971,1986,1978.0,5,2026-08-31T13:16:18.024Z
Croatia,4,3,1,0.04,97.5,2012,2018,2015.0,4,2026-08-31T13:16:18.024Z
Bangladesh,4,4,0,0.04,100.0,2012,2018,2016.0,3,2026-08-31T13:16:18.024Z
Iran,4,4,0,0.04,100.0,2011,2018,2016.0,3,2026-08-31T13:16:18.024Z
Venezuela,4,4,0,0.04,95.0,2007,2017,2014.0,4,2026-08-31T13:16:18.024Z
Slovenia,3,3,0,0.03,100.0,2015,2016,2016.0,2,2026-08-31T13:16:18.024Z
Soviet Union,3,3,0,0.03,100.0,1980,1991,1985.0,3,2026-08-31T13:16:18.024Z
Algeria,3,3,0,0.03,100.0,1979,2020,2004.0,3,2026-08-31T13:16:18.024Z
Senegal,3,2,1,0.03,93.33,2015,2019,2018.0,2,2026-08-31T13:16:18.024Z
Syria,3,2,1,0.03,96.67,2017,2019,2018.0,3,2026-08-31T13:16:18.024Z
Malta,3,2,1,0.03,96.67,2006,2018,2013.0,3,2026-08-31T13:16:18.024Z
Zimbabwe,3,3,0,0.03,93.33,2014,2017,2016.0,2,2026-08-31T13:16:18.024Z
Ukraine,3,1,2,0.03,90.0,2015,2017,2016.0,2,2026-08-31T13:16:18.024Z
Namibia,2,2,0,0.02,95.0,2017,2019,2018.0,2,2026-08-31T13:16:18.024Z
Iraq,2,2,0,0.02,95.0,2015,2018,2017.0,2,2026-08-31T13:16:18.024Z
Georgia,2,2,0,0.02,95.0,2017,2018,2018.0,2,2026-08-31T13:16:18.024Z
Mauritius,2,1,1,0.02,95.0,2019,2021,2020.0,2,2026-08-31T13:16:18.024Z
Guatemala,2,2,0,0.02,100.0,2017,2019,2018.0,2,2026-08-31T13:16:18.024Z
Nepal,2,2,0,0.02,100.0,2017,2018,2018.0,2,2026-08-31T13:16:18.024Z
Cayman Islands,2,2,0,0.02,100.0,2018,2021,2020.0,2,2026-08-31T13:16:18.024Z
Liechtenstein,1,1,0,0.01,100.0,1965,1965,1965.0,1,2026-08-31T13:16:18.024Z
Nicaragua,1,1,0,0.01,100.0,2015,2015,2015.0,1,2026-08-31T13:16:18.024Z
Burkina Faso,1,1,0,0.01,100.0,1993,1993,1993.0,1,2026-08-31T13:16:18.024Z
Cameroon,1,1,0,0.01,100.0,2020,2020,2020.0,1,2026-08-31T13:16:18.024Z
Armenia,1,1,0,0.01,90.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Somalia,1,1,0,0.01,100.0,2017,2017,2017.0,1,2026-08-31T13:16:18.024Z
Afghanistan,1,1,0,0.01,100.0,2016,2016,2016.0,1,2026-08-31T13:16:18.024Z
Bermuda,1,1,0,0.01,100.0,2014,2014,2014.0,1,2026-08-31T13:16:18.024Z
